"Church Name","District Name",Mainkey,"Church Code","Church Mail To","Report Status",Validate,Year,PreviousYearMembers,MembersRemoved,MembersAdded,MembersTotal,AdherentsTotal,InclusiveTotal,MorningAttendance,Language,DigitalService,SmallGroupAttendance,YouthGroupAttendance,ChildrenAttendance,Ethnicity,OnlAtt,YoungAdultAttendance,Conversions0to11,Conversions12to18,Conversions19to30,ConversionsOver30,ConversionsTotal,BaptismsTotal,IncomeLocal,FamilySupportLocal,FamilySupportGCM,ChurchDebt,STMCMAForeign,STMCMADomestic,STMCMAContributions,STMEvent,AllianceWorkersSupported,partnerships,AMEngagePresenter,PeopleCMAForeign19to30,PeopleCMAForeignAges12to18,INTLCMATripAmount,PeopleCMADOM19to30,PEOPLECMADOMAGE12TO18,PeopleNONCMADOM1218,PeopleNonCMADom1920,STMNonCMADomestic,STMNonCMADomesticTrips,PeopleNONCMAFOREIGN1218,PeopleNONCMAFOREIGN1930,STMNonCMAForeign,AMTNONCMAINTL,LeadersDeveloped,LeadersDeployed,PlantIntent,ChurchPlant,GroupPrayer,DiscipleshipPlan,LeadershipPlan,EvangelismPlan,OutreachPlan,CAProgram,BulletinCount,ChurchMultiplyFocusEvent,ChurchPlantEventContent,LocalChurchActs,ChurchPlantMultisite,YouthServeChurchEvent,YouthServeChurchEventNo,YouthServeWeekRelMin,YouthServeWeekRelMinNo,StudentLeadTeam,YouthSerLeadTeamNo,YoungAdultMinistry,VocationalMinistry1218,VocationalMinistry1930,VocationalMinistry31over,Called2ServeUse,LeadersAccreditateLicense,comment,Participants,LeadershipParticipants,EvangelismParticipants,CommunityParticipants
"Chinese Alliance Church","Alliance New England",303724,21-09-075,chyelu@gmail.com,"Not Started",N,2021,66,11,2,57,6,63,12,Mandarin,Y,22,3,1,Chinese:100,0,,0,0,0,0,0,0,221632,40,9,0,0,0,0,N,0,"Portugal Field",,,,,,,,,0,,,,0,,2,0,N,N,10,N,N,N,N,,1,,,,,,,,,,,,,,,,,,,,,
"Chinese Alliance Church","Alliance New England",303724,21-09-075,chyelu@gmail.com,Completed,Y,2022,66,7,2,61,3,64,30,Mandarin,Y,17,2,1,Chinese:100,24,1,0,0,0,5,5,0,191567,40,10,0,0,0,0,"No - we did not hold an event",0,"Portugal Field",,0,0,0,0,0,0,0,0,2,0,0,2,27350,2,2,N,N,20,Y,Y,Y,Y,,1,N,,,,Y,2,N,,N,,N,0,0,0,N,0,no,30,2,20,4
"Christ Chapel of C&MA","Alliance New England",303727,21-09-100,,"Not Started",N,2021,65,4,3,64,60,124,115,English,Y,15,24,12,"African American:4, Anglo:91, German:5",0,,0,0,0,0,0,5,407860,103,103,0,0,0,0,N,0,"Africa Long Beach, CAMA Thailand",,,,,,,,,0,,,,0,,0,0,N,N,1,N,N,N,N,,0,,,,,,,,,,,,,,,,,,,,,
"Christ Chapel of C&MA","Alliance New England",303727,21-09-100,,Completed,Y,2022,70,5,14,79,62,141,85,English,Y,0,18,10,,5,0,0,3,0,0,3,0,292537,101,0,0,0,0,0,"No - we did not hold an event",0,"Africa Long Beach, CAMA Thailand",,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,N,N,1,N,N,N,N,,0,N,,,,Y,4,Y,,Y,18,N,0,2,0,N,1,"Our church is currently in transition with Vital Church",,,,
"Calvary Church of C&MA","Alliance New England",303732,21-09-150,calvaryalliancechurch2019@gmail.com,"Not Started",N,2021,32,0,2,34,24,58,21,English,Y,16,2,4,"Anglo:94, Chinese:2, Korean:2, Thai:2",0,,0,0,0,1,1,1,138169,25,11,212500,0,0,0,Y,2,"Africa Long Beach, Asia/Pacific Thailand",,,,,,,,,0,,,,0,,0,0,N,N,0,N,N,N,N,,35,,,,,,,,,,,,,,,,,,,,,
"Calvary Church of C&MA","Alliance New England",303732,21-09-150,calvaryalliancechurch2019@gmail.com,Completed,Y,2022,32,3,0,29,24,53,29,English,Y,21,0,0,"Korean:2, Chinese:2, Thai:2, African:2, Anglo:92",0,0,1,0,0,3,4,0,115352,25,11,194386,0,0,0,"Yes - we had an in-person event",2,"Africa Long Beach, Asia/Pacific Thailand","Active International Worker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,11,N,N,N,N,,35,Y,"Content from Non-Alliance sources.",,,Y,52,N,,N,,N,0,0,0,N,1,no,,,,
"New Haven Chinese Alliance Church","Alliance New England",303743,21-09-210,bingbinmo@gmail.com,"Not Started",N,2021,50,13,18,55,25,80,25,Mandarin,Y,57,5,9,Chinese:100,0,,0,0,0,5,5,6,88493,49,10,0,0,0,0,Y,4,"Uruguay Field, Cambodia Field, Special Assignment Field, Special Assignment Field",,,,,,,,,1,,,,0,,3,3,N,N,9,Y,N,N,N,,1,,,,,,,,,,,,,,,,,,,,,
"New Haven Chinese Alliance Church","Alliance New England",303743,21-09-210,bingbinmo@gmail.com,Completed,Y,2022,55,12,10,53,29,82,30,Mandarin,Y,41,5,11,Chinese:100,6,5,0,0,1,3,4,1,99776,43,10,0,0,0,0,"Yes - we had an in-person event",3,"Uruguay Field, Cambodia Field, Special Assignment Field, Special Assignment Field","Active International Worker",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,N,N,10,Y,N,Y,N,,1,N,,,,Y,3,N,,N,,Y,0,0,3,N,0,"Thank you for your faithful serving. May God Bless C&MA through our local churches.",12,,10,
"Norwich Alliance Church","Alliance New England",303744,21-09-250,norwich.alliance@snet.net,"Not Started",N,2021,136,3,0,133,153,286,63,English,Y,13,5,14,"African American:1, Anglo:97, Chinese:1, Haitian:1",0,,0,0,0,4,4,2,203330,47,16,94387,1,0,2320,Y,2,"aXcess Asia/Pacific Thailand, aXcess Africa Long Beach 1",,,,,,,,,0,,,,0,,1,0,N,N,14,N,N,N,Y,,120,,,,,,,,,,,,,,,,,,,,,
"Norwich Alliance Church","Alliance New England",303744,21-09-250,norwich.alliance@snet.net,Completed,Y,2022,133,5,0,128,114,242,61,English,N,16,2,16,"Anglo:95, Chinese:2, African American:1, Filipino:1, Russian:1",0,8,4,2,1,7,14,14,209944,47,14,69640,0,0,0,"Yes - we had an in-person event",2,"aXcess Asia/Pacific Thailand, aXcess Africa Long Beach 1","Active International Worker",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,Y,N,14,Y,Y,Y,Y,,120,N,,,,Y,2,Y,4,N,,N,0,0,0,N,0,,2,2,4,3
"Community Chapel of C&MA","Alliance New England",303752,21-09-300,pastorJim@communitychapel.org,"Not Started",N,2021,56,6,3,53,49,102,48,English,N,25,10,4,Anglo:100,0,,0,0,1,2,3,3,252043,42,11,989715,1,0,0,Y,13,"Africa Long Beach",,,,,,,,,0,,,,0,,0,0,N,N,6,N,N,N,N,,40,,,,,,,,,,,,,,,,,"I found the church advance section to be confusing.  A lot of those categories that were mentioned were new to me so I either responded negatively or didn't respond at all which seemed to be translated as a negative.  ",,,,
