"Church Name","District Name",Mainkey,"Church Code","Church Mail To","Report Status",Validate,Year,STMCMAForeign,STMCMADomestic,STMCMAContributions,STMEvent,AllianceWorkersSupported,partnerships,AMEngagePresenter,PeopleCMAForeign19to30,PeopleCMAForeignAges12to18,INTLCMATripAmount,PeopleCMADOM19to30,PEOPLECMADOMAGE12TO18,PeopleNONCMADOM1218,PeopleNonCMADom1920,STMNonCMADomestic,STMNonCMADomesticTrips,PeopleNONCMAFOREIGN1218,PeopleNONCMAFOREIGN1930,STMNonCMAForeign,AMTNONCMAINTL
"Chinese Alliance Church","Alliance New England",303724,21-09-075,chyelu@gmail.com,"Not Started",N,2021,0,0,0,N,0,"Portugal Field",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Chinese Alliance Church","Alliance New England",303724,21-09-075,chyelu@gmail.com,Completed,Y,2022,0,0,0,"No - we did not hold an event",0,"Portugal Field",NULL,0,0,0,0,0,0,0,0,2,0,0,2,27350
"Christ Chapel of C&MA","Alliance New England",303727,21-09-100,NULL,"Not Started",N,2021,0,0,0,N,0,"Africa Long Beach, CAMA Thailand",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Christ Chapel of C&MA","Alliance New England",303727,21-09-100,NULL,Completed,Y,2022,0,0,0,"No - we did not hold an event",0,"Africa Long Beach, CAMA Thailand",NULL,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calvary Church of C&MA","Alliance New England",303732,21-09-150,calvaryalliancechurch2019@gmail.com,"Not Started",N,2021,0,0,0,Y,2,"Africa Long Beach, Asia/Pacific Thailand",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Calvary Church of C&MA","Alliance New England",303732,21-09-150,calvaryalliancechurch2019@gmail.com,Completed,Y,2022,0,0,0,"Yes - we had an in-person event",2,"Africa Long Beach, Asia/Pacific Thailand","Active International Worker",0,0,0,0,0,0,0,0,0,0,0,0,0
"New Haven Chinese Alliance Church","Alliance New England",303743,21-09-210,bingbinmo@gmail.com,"Not Started",N,2021,0,0,0,Y,4,"Uruguay Field, Cambodia Field, Special Assignment Field, Special Assignment Field",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,0,NULL
"New Haven Chinese Alliance Church","Alliance New England",303743,21-09-210,bingbinmo@gmail.com,Completed,Y,2022,0,0,0,"Yes - we had an in-person event",3,"Uruguay Field, Cambodia Field, Special Assignment Field, Special Assignment Field","Active International Worker",0,0,0,0,0,0,0,0,0,0,0,0,0
"Norwich Alliance Church","Alliance New England",303744,21-09-250,norwich.alliance@snet.net,"Not Started",N,2021,1,0,2320,Y,2,"aXcess Asia/Pacific Thailand, aXcess Africa Long Beach 1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Norwich Alliance Church","Alliance New England",303744,21-09-250,norwich.alliance@snet.net,Completed,Y,2022,0,0,0,"Yes - we had an in-person event",2,"aXcess Asia/Pacific Thailand, aXcess Africa Long Beach 1","Active International Worker",0,0,0,0,0,0,0,0,0,0,0,0,0
"Community Chapel of C&MA","Alliance New England",303752,21-09-300,pastorJim@communitychapel.org,"Not Started",N,2021,1,0,0,Y,13,"Africa Long Beach",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Community Chapel of C&MA","Alliance New England",303752,21-09-300,pastorJim@communitychapel.org,Completed,Y,2022,0,0,0,"Yes - we had an in-person event",2,"Africa Long Beach","Active International Worker",0,0,0,0,0,0,0,0,0,0,0,0,8500
"Bethel Evangelical Alliance Church","Alliance New England",303761,21-09-351,piervil87@yahoo.com,"Not Started",N,2021,0,0,150,N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Bethel Evangelical Alliance Church","Alliance New England",303761,21-09-351,piervil87@yahoo.com,Completed,Y,2022,0,0,3200,"No - we did not hold an event",1,NULL,NULL,0,0,200,0,0,0,0,0,0,0,0,0,0
"Bethany Alliance Church","Alliance New England",303763,21-09-400,dahennig@gmail.com,"Not Started",N,2021,0,0,0,Y,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Bethany Alliance Church","Alliance New England",303763,21-09-400,dahennig@gmail.com,Completed,Y,2022,0,0,0,"Yes - we had an in-person event",0,NULL,"Active International Worker",0,0,0,0,0,0,0,0,0,0,0,0,0
"New River Community Church","Alliance New England",303768,21-09-450,doug@newriverchurch.org,"Not Started",N,2021,0,0,0,N,2,"aXcess Asia/Pacific Thailand",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"New River Community Church","Alliance New England",303768,21-09-450,doug@newriverchurch.org,Completed,Y,2022,0,0,0,"No - we did not hold an event",2,"aXcess Asia/Pacific Thailand",NULL,0,0,0,0,0,0,0,0,0,0,0,0,4427
"Crossroads Community Church","Alliance New England",303772,21-09-451,ewosterday@gmail.com,"Not Started",N,2021,0,0,0,N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Crossroads Community Church","Alliance New England",303772,21-09-451,ewosterday@gmail.com,Completed,Y,2022,0,0,0,"No - we did not hold an event",0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bethel Alliance Church of C&MA","Alliance New England",303817,21-23-175,bethelcma@yahoo.com,"Not Started",N,2021,0,0,0,Y,4,"aXcess Africa Senegal - Desert Springs Team St Lou, aXcess Asia/Pacific Cambodia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Bethel Alliance Church of C&MA","Alliance New England",303817,21-23-175,bethelcma@yahoo.com,Completed,Y,2022,0,0,0,"Yes - we had an in-person event",5,"aXcess Africa Senegal - Desert Springs Team St Lou, aXcess Asia/Pacific Cambodia","Active International Worker",0,0,0,0,0,0,0,0,0,0,0,0,2400
"Bridgton Alliance Church","Alliance New England",303822,21-23-200,info@bridgtonalliancechurch.org,"Not Started",N,2021,0,0,0,Y,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Bridgton Alliance Church","Alliance New England",303822,21-23-200,info@bridgtonalliancechurch.org,Completed,Y,2022,0,0,0,"No - we did not hold an event",1,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0
"Casco Alliance Church","Alliance New England",303828,21-23-250,cascoalliance@gmail.com,"Not Started",N,2021,0,0,0,Y,2,"CAC-4315, Asia/Pacific Cambodia, Africa Senegal - Desert Springs Team",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Casco Alliance Church","Alliance New England",303828,21-23-250,cascoalliance@gmail.com,Completed,Y,2022,0,0,0,"Yes - we had an in-person event",2,"CAC-4315, Asia/Pacific Cambodia, Africa Senegal - Desert Springs Team","Active International Worker",0,0,0,0,0,0,0,0,0,0,0,0,0
"Fellowship Alliance Church","Alliance New England",303837,21-23-303,kurt@sawyersmaple.com,"Not Started",N,2021,0,0,0,Y,0,"Tent maker",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Fellowship Alliance Church","Alliance New England",303837,21-23-303,kurt@sawyersmaple.com,Completed,Y,2022,0,0,4600,"No - we did not hold an event",1,"Tent maker",NULL,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spurr's Corner Church C&MA","Alliance New England",303844,21-23-325,spurrscornerchurch@gmail.com,"Not Started",N,2021,0,0,0,Y,5,"aXcess Asia/Pacific Cambodia, aXcess Africa Senegal - Desert Springs Team St Lou",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"Spurr's Corner Church C&MA","Alliance New England",303844,21-23-325,spurrscornerchurch@gmail.com,Completed,Y,2022,0,0,0,"Yes - we had an in-person event",5,"aXcess Asia/Pacific Cambodia, aXcess Africa Senegal - Desert Springs Team St Lou","Active International Worker",0,0,0,0,0,378,0,0,0,0,0,0,2445
"North Deering Alliance Church","Alliance New England",303848,21-23-350,rouddykabau@gmail.com,"Not Started",N,2021,0,0,0,Y,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL
"North Deering Alliance Church","Alliance New England",303848,21-23-350,rouddykabau@gmail.com,Completed,Y,2022,0,0,0,"Yes - we used Alliance Missions video",0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0
